date,day,day_suffix,day_of_week,day_of_year,week_of_year,week_of_month,month,month_name,quarter,quarter_name,year
19000412,12,Thu,4,12,15,4,04,April,2,Q2,1900
19000413,13,Fri,5,13,15,5,04,April,2,Q2,1900
19000414,14,Sat,6,14,15,5,04,April,2,Q2,1900
19000415,15,Sun,0,15,15,5,04,April,2,Q2,1900
19000416,16,Mon,1,16,16,6,04,April,2,Q2,1900
19000417,17,Tue,2,17,16,6,04,April,2,Q2,1900
19000418,18,Wed,3,18,16,6,04,April,2,Q2,1900
19000419,19,Thu,4,19,16,7,04,April,2,Q2,1900
19000420,20,Fri,5,20,16,7,04,April,2,Q2,1900
19000421,21,Sat,6,21,16,7,04,April,2,Q2,1900
19000422,22,Sun,0,22,16,8,04,April,2,Q2,1900
19000423,23,Mon,1,23,17,8,04,April,2,Q2,1900
19000424,24,Tue,2,24,17,8,04,April,2,Q2,1900
19000425,25,Wed,3,25,17,9,04,April,2,Q2,1900
19000426,26,Thu,4,26,17,9,04,April,2,Q2,1900
19000427,27,Fri,5,27,17,9,04,April,2,Q2,1900
19000428,28,Sat,6,28,17,10,04,April,2,Q2,1900
19000429,29,Sun,0,29,17,10,04,April,2,Q2,1900
19000430,30,Mon,1,30,18,10,04,April,2,Q2,1900
19000501,01,Tue,2,1,18,1,05,May,2,Q2,1900
19000502,02,Wed,3,2,18,1,05,May,2,Q2,1900
19000503,03,Thu,4,3,18,1,05,May,2,Q2,1900
19000504,04,Fri,5,4,18,2,05,May,2,Q2,1900
19000505,05,Sat,6,5,18,2,05,May,2,Q2,1900
19000506,06,Sun,0,6,18,2,05,May,2,Q2,1900
19000507,07,Mon,1,7,19,3,05,May,2,Q2,1900
19000508,08,Tue,2,8,19,3,05,May,2,Q2,1900
19000509,09,Wed,3,9,19,3,05,May,2,Q2,1900
19000510,10,Thu,4,10,19,4,05,May,2,Q2,1900
19000511,11,Fri,5,11,19,4,05,May,2,Q2,1900
19000512,12,Sat,6,12,19,4,05,May,2,Q2,1900
19000513,13,Sun,0,13,19,5,05,May,2,Q2,1900
19000514,14,Mon,1,14,20,5,05,May,2,Q2,1900
19000515,15,Tue,2,15,20,5,05,May,2,Q2,1900
19000516,16,Wed,3,16,20,6,05,May,2,Q2,1900
19000517,17,Thu,4,17,20,6,05,May,2,Q2,1900
19000518,18,Fri,5,18,20,6,05,May,2,Q2,1900
19000519,19,Sat,6,19,20,7,05,May,2,Q2,1900
19000520,20,Sun,0,20,20,7,05,May,2,Q2,1900
19000521,21,Mon,1,21,21,7,05,May,2,Q2,1900
19000522,22,Tue,2,22,21,8,05,May,2,Q2,1900
19000523,23,Wed,3,23,21,8,05,May,2,Q2,1900
19000524,24,Thu,4,24,21,8,05,May,2,Q2,1900
19000525,25,Fri,5,25,21,9,05,May,2,Q2,1900
19000526,26,Sat,6,26,21,9,05,May,2,Q2,1900
19000527,27,Sun,0,27,21,9,05,May,2,Q2,1900
19000528,28,Mon,1,28,22,10,05,May,2,Q2,1900
19000529,29,Tue,2,29,22,10,05,May,2,Q2,1900
19000530,30,Wed,3,30,22,10,05,May,2,Q2,1900
19000531,31,Thu,4,31,22,11,05,May,2,Q2,1900
19000601,01,Fri,5,1,22,1,06,June,2,Q2,1900
19000602,02,Sat,6,2,22,1,06,June,2,Q2,1900
19000603,03,Sun,0,3,22,1,06,June,2,Q2,1900
19000604,04,Mon,1,4,23,2,06,June,2,Q2,1900
19000605,05,Tue,2,5,23,2,06,June,2,Q2,1900
19000606,06,Wed,3,6,23,2,06,June,2,Q2,1900
19000607,07,Thu,4,7,23,3,06,June,2,Q2,1900
19000608,08,Fri,5,8,23,3,06,June,2,Q2,1900
19000609,09,Sat,6,9,23,3,06,June,2,Q2,1900
19000610,10,Sun,0,10,23,4,06,June,2,Q2,1900
19000611,11,Mon,1,11,24,4,06,June,2,Q2,1900
19000612,12,Tue,2,12,24,4,06,June,2,Q2,1900
19000613,13,Wed,3,13,24,5,06,June,2,Q2,1900
19000614,14,Thu,4,14,24,5,06,June,2,Q2,1900
19000615,15,Fri,5,15,24,5,06,June,2,Q2,1900
19000616,16,Sat,6,16,24,6,06,June,2,Q2,1900
19000617,17,Sun,0,17,24,6,06,June,2,Q2,1900
19000618,18,Mon,1,18,25,6,06,June,2,Q2,1900
19000619,19,Tue,2,19,25,7,06,June,2,Q2,1900
19000620,20,Wed,3,20,25,7,06,June,2,Q2,1900
19000621,21,Thu,4,21,25,7,06,June,2,Q2,1900
19000622,22,Fri,5,22,25,8,06,June,2,Q2,1900
19000623,23,Sat,6,23,25,8,06,June,2,Q2,1900
19000624,24,Sun,0,24,25,8,06,June,2,Q2,1900
